Run, 0001, 0004, 0016, 0064, 0128, 0256, 0512, 1024
'200_percona-innodb_oltp_update_index-16x10M-32G', 758.02, 897.58, 529.63, 12080.39, 20930.39, 23732.36, 23909.39, 24432.16
'201_percona-innodb_oltp_update_index-16x10M-32G', 831.92, 1523.82, 11066.89, 17629.68, 20604.84, 23403.03, 23377.96, 23980.10
'202_percona-innodb_oltp_update_index-16x10M-32G', 803.58, 3159.22, 12694.06, 17662.21, 20799.50, 23526.45, 23713.08, 24134.30
'203_percona-innodb_oltp_update_index-16x10M-32G', 806.29, 3127.08, 11801.30, 17254.09, 20248.98, 22882.11, 23371.67, 23670.66
'204_percona-innodb_oltp_update_index-16x10M-32G', 806.17, 3084.77, 12846.10, 17753.38, 20910.97, 23428.11, 23988.58, 24255.13
'205_percona-innodb_oltp_update_index-16x10M-32G', 796.20, 1204.25, 7913.40, 17818.78, 20744.30, 23516.31, 23861.14, 24068.77

'210_percona-innodb_oltp_update_non_index-16x10M-32G', 1945.70, 6525.01, 13534.71, 22276.09, 23008.81, 26115.43, 26734.62, 27185.26
'211_percona-innodb_oltp_update_non_index-16x10M-32G', 1951.69, 6566.68, 13444.04, 22022.74, 22410.54, 26083.13, 26696.81, 27349.12
'212_percona-innodb_oltp_update_non_index-16x10M-32G', 1959.96, 6528.17, 13418.96, 22067.97, 22711.25, 26043.54, 26717.39, 27026.86
'213_percona-innodb_oltp_update_non_index-16x10M-32G', 1938.06, 6511.46, 13350.80, 21872.82, 22553.00, 25974.85, 26771.48, 27265.64

'310_percona-innodb_oltp_write_only-16x10M-32G', 2425.08, 5050.98, 31355.90, 48759.09, 53158.05, 55806.81, 55162.56, 53838.09
'311_percona-innodb_oltp_write_only-16x10M-32G', 2430.59, 5623.52, 22266.26, 48853.12, 53296.95, 56306.36, 55435.08, 53967.07
'313_percona-innodb_oltp_write_only-16x10M-32G', 2430.28, 9306.80, 34244.15, 50310.62, 53541.03, 56989.74, 57045.16, 55755.22
'312_percona-innodb_oltp_write_only-16x10M-32G', 2431.10, 10836.75, 33182.45, 49235.04, 53063.15, 55914.31, 55185.39, 53724.4
'314_percona-innodb_oltp_write_only-16x10M-32G', 2448.73, 11097.10, 33783.60, 49957.22, 53316.73, 56907.67, 57042.94, 55838.72
'315_percona-innodb_oltp_write_only-16x10M-32G', 2451.89, 10655.45, 32727.00, 49691.48, 53282.17, 56165.59, 56387.21, 54792.05

'320_percona-innodb_oltp_read_write-16x10M-32G', 2292.15, 9519.96, 30753.85, 53235.92, 52850.75, 52690.83, 52821.95, 52723.72
'321_percona-innodb_oltp_read_write-16x10M-32G', 2322.17, 9569.35, 31378.62, 53555.27, 52864.56, 52868.47, 52851.08, 52899.30
'322_percona-innodb_oltp_read_write-16x10M-32G', 2332.96, 9619.39, 17734.51, 53251.33, 52772.69, 52554.04, 52725.10, 52912.22
'323_percona-innodb_oltp_read_write-16x10M-32G', 2311.97, 9571.05, 31942.18, 53243.75, 52869.92, 52781.15, 52775.79, 52716.72
'324_percona-innodb_oltp_read_write-16x10M-32G', 2330.38, 9585.03, 20854.75, 53321.80, 52866.84, 52714.09, 52823.56, 52881.13

'330_percona-innodb_oltp_read_only-16x10M-32G', 2892.54, 11384.38, 40703.89, 65170.07, 64783.47, 64913.42, 64614.10, 64466.45
'331_percona-innodb_oltp_read_only-16x10M-32G', 2877.73, 11413.55, 40650.05, 65183.61, 64777.03, 64773.05, 64687.87, 64467.71
'332_percona-innodb_oltp_read_only-16x10M-32G', 2885.75, 11356.66, 40651.24, 65111.93, 64720.76, 64813.44, 64602.57, 64442.86

'340_percona-innodb_oltp_point_select-16x10M-32G', 4067.70, 15927.83, 54241.85, 84095.18, 83782.12, 84024.86, 83817.82, 83400.15
'341_percona-innodb_oltp_point_select-16x10M-32G', 4018.48, 15786.66, 54313.14, 83953.50, 83674.44, 84139.65, 83579.17, 83379.84
'342_percona-innodb_oltp_point_select-16x10M-32G', 4107.09, 16063.25, 54273.36, 84049.41, 83528.85, 84135.80, 83822.17, 83357.35

'350_percona-innodb_oltp_delete-16x10M-32G', 2015.13, 5512.28, 7992.94, 15923.46, 5704.37, 22322.45, 33134.75, 35759.37
'351_percona-innodb_oltp_delete-16x10M-32G', 2032.16, 7022.42, 15079.50, 24977.57, 24681.37, 30953.34, 36891.39, 40471.89
'352_percona-innodb_oltp_delete-16x10M-32G', 2034.24, 6989.10, 16091.73, 24912.01, 30014.27, 34763.37, 37756.57, 41903.34
'353_percona-innodb_oltp_delete-16x10M-32G', 2018.87, 6982.85, 15611.71, 24632.59, 29735.83, 34542.97, 37607.68, 41797.42

'360_percona-innodb_oltp_insert-16x10M-32G', 2032.78, 7592.67, 16232.38, 26122.60, 28220.05, 29953.75, 31056.23, 32201.40
'361_percona-innodb_oltp_insert-16x10M-32G', 2013.30, 7529.81, 16181.73, 26102.77, 28141.44, 29956.04, 31055.60, 32312.68
'362_percona-innodb_oltp_insert-16x10M-32G', 2012.36, 7508.11, 16259.97, 26449.49, 28527.12, 30373.67, 31509.94, 32672.51
'363_percona-innodb_oltp_insert-16x10M-32G', 2009.18, 7610.88, 16225.51, 26212.64, 28232.53, 29983.95, 31039.09, 32448.30
